Company,"Car Local Sale "
TOYODA,220258
VOLKSWAGEN GROUP SA,129818
HYUNDAI AUTOMOTIVE SOUTH AFRICA,63327
FORD MOTOR COMPANY,59359
NISSAN,55873
SUZUKI AUTO,53997
RENAULT,41179
KIA SOUTH AFRICA,35702
HAVAL MOTORS SA,33920
ISUZU MOTORS SOUTH AFRICA,30917
BMW GROUP,20895
"MERCEDES-BENZ SA ",17465
MAHINDRA,16178
MAZDA SOUTHERN AFRICA,15081
JAGUAR LAND ROVER,6574
HONDA,6574
STELLANTIS,5680
MITSUBISHI MOTORS SA,5260
PCSA,2693
VOLVO CARS,2660
"PORSCHE ",2312
FCA SOUTH AFRICA,2035
SUBARU,1344
"BMW GROUP ",1249
"OPEL ",592
JMC,355
JAC MOTORS SOUTH AFRICA,263
SCUDERIA SOUTH AFRICA,163
BENTLEY,86
LAMBORGHINI SOUTH AFRICA,65
MASERATI SOUTH AFRICA,43
"LAMBORGHINI SOUTH AFRICA ",34
"BENTLEY ",4
POWERSTAR,null
IVECO,null
FAW TRUCKS,null
"DAIMLER TRUCKS AND BUSES SA ",null
VOLVO GROUP SOUTHERN AFRICA,null
VECV SOUTH AFRICA,null
UD TRUCKS SOUTHERN AFRICA,null
TATA,null
SCANIA,null
MAN,null
BABCOCK,null
